month,total_pendapatan
2023-01,24500000.0
2023-02,33380000.0
2023-03,53080000.0
2023-04,4930000.0
2023-05,7630000.0
2023-06,10620000.0
2023-07,14760000.0
2023-08,39200000.0
2023-09,19660000.0
2023-10,22470000.0
2023-11,43040000.0
2023-12,79920000.0
2024-01,48950000.0
2024-02,5180000.0
2024-03,5680000.0
2024-04,35600000.0
2024-05,6160000.0
2024-06,52390000.0
2024-07,58045000.0
2024-08,56830000.0
2024-09,35125000.0
2024-10,57010000.0
2024-11,16990000.0
2024-12,23750000.0
2025-01,47610000.0
2025-02,6660000.0
2025-03,2770000.0
2025-04,400000.0
2025-05,120000.0
